acc_x_0,acc_x_1,acc_x_2,acc_x_3,acc_x_4,acc_x_5,acc_x_6,acc_x_7,acc_x_8,acc_x_9,acc_x_10,acc_x_11,acc_x_12,acc_x_13,acc_x_14,acc_x_15,acc_x_16,acc_x_17,acc_x_18,acc_x_19,acc_x_20,acc_x_21,acc_x_22,acc_x_23,acc_x_24,acc_x_25,acc_x_26,acc_x_27,acc_x_28,acc_x_29,acc_x_30,acc_x_31,acc_x_32,acc_x_33,acc_x_34,acc_x_35,acc_x_36,acc_x_37,acc_x_38,acc_x_39,acc_x_40,acc_x_41,acc_x_42,acc_x_43,acc_x_44,acc_x_45,acc_x_46,acc_x_47,acc_y_0,acc_y_1,acc_y_2,acc_y_3,acc_y_4,acc_y_5,acc_y_6,acc_y_7,acc_y_8,acc_y_9,acc_y_10,acc_y_11,acc_y_12,acc_y_13,acc_y_14,acc_y_15,acc_y_16,acc_y_17,acc_y_18,acc_y_19,acc_y_20,acc_y_21,acc_y_22,acc_y_23,acc_y_24,acc_y_25,acc_y_26,acc_y_27,acc_y_28,acc_y_29,acc_y_30,acc_y_31,acc_y_32,acc_y_33,acc_y_34,acc_y_35,acc_y_36,acc_y_37,acc_y_38,acc_y_39,acc_y_40,acc_y_41,acc_y_42,acc_y_43,acc_y_44,acc_y_45,acc_y_46,acc_y_47,acc_z_0,acc_z_1,acc_z_2,acc_z_3,acc_z_4,acc_z_5,acc_z_6,acc_z_7,acc_z_8,acc_z_9,acc_z_10,acc_z_11,acc_z_12,acc_z_13,acc_z_14,acc_z_15,acc_z_16,acc_z_17,acc_z_18,acc_z_19,acc_z_20,acc_z_21,acc_z_22,acc_z_23,acc_z_24,acc_z_25,acc_z_26,acc_z_27,acc_z_28,acc_z_29,acc_z_30,acc_z_31,acc_z_32,acc_z_33,acc_z_34,acc_z_35,acc_z_36,acc_z_37,acc_z_38,acc_z_39,acc_z_40,acc_z_41,acc_z_42,acc_z_43,acc_z_44,acc_z_45,acc_z_46,acc_z_47,val
-0.15625,-0.15625,-0.09375,0.0,0.03125,0.09375,0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,-0.40625,-0.375,-0.375,-0.375,-0.375,-0.3125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,30.96875,30.96875,31.0,30.9375,30.9375,30.96875,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,0.0
-0.15625,-0.09375,0.0,0.03125,0.09375,0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,-0.375,-0.375,-0.375,-0.375,-0.3125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,30.96875,31.0,30.9375,30.9375,30.96875,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,0.0
-0.09375,0.0,0.03125,0.09375,0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.375,-0.375,-0.375,-0.3125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,31.0,30.9375,30.9375,30.96875,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,0.0
0.0,0.03125,0.09375,0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,-0.375,-0.375,-0.3125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,30.9375,30.9375,30.96875,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,0.0
0.03125,0.09375,0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,-0.375,-0.3125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,30.9375,30.96875,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,0.0
0.09375,0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,-0.3125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,30.96875,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,0.0
0.03125,0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,-0.3125,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,30.96875,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,0.0
0.0,-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,-0.34375,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,30.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,0.0
-0.03125,-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,-0.375,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,30.96875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,0.0
-0.09375,-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-0.40625,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,31.0,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,0.0
-0.125,-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-0.40625,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,31.0,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,0.0
-0.09375,0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-1.21875,-0.40625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,-7.1875,31.0,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,24.71875,0.0
0.0,0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-1.21875,-1.90625,-0.4375,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,-7.1875,-9.71875,30.96875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,24.71875,25.8125,0.0
0.0625,0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-1.21875,-1.90625,-1.03125,-0.46875,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,-7.1875,-9.71875,-9.71875,31.0,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,24.71875,25.8125,30.6875,0.0
0.6875,-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-1.21875,-1.90625,-1.03125,0.0,-0.1875,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,-7.1875,-9.71875,-9.71875,-9.25,30.59375,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,24.71875,25.8125,30.6875,31.09375,0.0
-0.03125,-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-1.21875,-1.90625,-1.03125,0.0,-0.90625,-2.5625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,-7.1875,-9.71875,-9.71875,-9.25,-8.40625,31.125,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,24.71875,25.8125,30.6875,31.09375,28.3125,0.0
-0.375,0.25,-0.875,2.28125,-2.6875,-2.46875,1.5625,-0.28125,-2.28125,-2.28125,-4.90625,-4.65625,-6.875,-4.8125,-1.90625,-0.5625,-1.65625,0.03125,0.625,7.03125,5.03125,-9.5625,-9.0625,-5.40625,-1.65625,-5.125,-1.1875,-1.71875,-0.625,-0.5625,-0.21875,-0.125,1.5,4.96875,-0.65625,0.84375,0.75,0.78125,0.875,1.21875,0.0,-3.09375,-1.21875,-1.90625,-1.03125,0.0,-0.90625,-2.90625,-2.53125,1.5,1.25,7.46875,-16.9375,-6.34375,1.59375,-3.65625,-1.1875,0.9375,6.375,5.53125,2.5625,3.21875,2.34375,0.78125,1.15625,0.96875,-0.375,1.84375,0.375,-12.5625,-8.59375,-3.0625,-2.375,-6.375,-4.625,-9.28125,-10.125,-10.71875,-9.6875,-10.09375,-11.0625,-10.46875,-8.1875,-8.34375,-9.65625,-11.59375,-10.4375,-9.96875,-8.6875,-5.53125,-7.1875,-9.71875,-9.71875,-9.25,-8.40625,-9.46875,31.375,30.96875,30.96875,31.71875,39.09375,34.59375,35.15625,34.46875,33.75,27.375,33.0,36.8125,39.90625,37.0,32.15625,29.03125,31.65625,39.25,39.6875,33.09375,23.875,20.15625,26.375,31.25,28.71875,28.4375,29.21875,28.84375,31.875,31.28125,31.46875,33.09375,30.65625,28.5,29.03125,28.15625,26.375,31.1875,33.1875,30.84375,29.03125,26.9375,24.71875,25.8125,30.6875,31.09375,28.3125,25.5625,0.0
