acc_x_0,acc_x_1,acc_x_2,acc_x_3,acc_x_4,acc_x_5,acc_x_6,acc_x_7,acc_x_8,acc_x_9,acc_x_10,acc_x_11,acc_x_12,acc_x_13,acc_x_14,acc_x_15,acc_x_16,acc_x_17,acc_x_18,acc_x_19,acc_x_20,acc_x_21,acc_x_22,acc_x_23,acc_x_24,acc_x_25,acc_x_26,acc_x_27,acc_x_28,acc_x_29,acc_x_30,acc_x_31,acc_x_32,acc_x_33,acc_x_34,acc_x_35,acc_x_36,acc_x_37,acc_x_38,acc_x_39,acc_x_40,acc_x_41,acc_x_42,acc_x_43,acc_x_44,acc_x_45,acc_x_46,acc_x_47,acc_y_0,acc_y_1,acc_y_2,acc_y_3,acc_y_4,acc_y_5,acc_y_6,acc_y_7,acc_y_8,acc_y_9,acc_y_10,acc_y_11,acc_y_12,acc_y_13,acc_y_14,acc_y_15,acc_y_16,acc_y_17,acc_y_18,acc_y_19,acc_y_20,acc_y_21,acc_y_22,acc_y_23,acc_y_24,acc_y_25,acc_y_26,acc_y_27,acc_y_28,acc_y_29,acc_y_30,acc_y_31,acc_y_32,acc_y_33,acc_y_34,acc_y_35,acc_y_36,acc_y_37,acc_y_38,acc_y_39,acc_y_40,acc_y_41,acc_y_42,acc_y_43,acc_y_44,acc_y_45,acc_y_46,acc_y_47,acc_z_0,acc_z_1,acc_z_2,acc_z_3,acc_z_4,acc_z_5,acc_z_6,acc_z_7,acc_z_8,acc_z_9,acc_z_10,acc_z_11,acc_z_12,acc_z_13,acc_z_14,acc_z_15,acc_z_16,acc_z_17,acc_z_18,acc_z_19,acc_z_20,acc_z_21,acc_z_22,acc_z_23,acc_z_24,acc_z_25,acc_z_26,acc_z_27,acc_z_28,acc_z_29,acc_z_30,acc_z_31,acc_z_32,acc_z_33,acc_z_34,acc_z_35,acc_z_36,acc_z_37,acc_z_38,acc_z_39,acc_z_40,acc_z_41,acc_z_42,acc_z_43,acc_z_44,acc_z_45,acc_z_46,acc_z_47,val
0.0,-0.125,-0.03125,-0.0625,-0.0625,1.90625,13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-0.28125,-0.25,-0.40625,-0.4375,-0.46875,4.75,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,31.0625,31.0625,31.0,31.03125,31.03125,31.21875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,0.0
-0.125,-0.03125,-0.0625,-0.0625,1.90625,13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-0.25,-0.40625,-0.4375,-0.46875,4.75,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,31.0625,31.0,31.03125,31.03125,31.21875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,0.0
-0.03125,-0.0625,-0.0625,1.90625,13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-0.40625,-0.4375,-0.46875,4.75,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,31.0,31.03125,31.03125,31.21875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,0.0
-0.0625,-0.0625,1.90625,13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-0.4375,-0.46875,4.75,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,31.03125,31.03125,31.21875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,0.0
-0.0625,1.90625,13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-0.46875,4.75,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,31.03125,31.21875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,0.0
1.90625,13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,4.75,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,31.21875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,0.0
13.875,10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,22.1875,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,31.6875,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,0.0
10.21875,-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,17.53125,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,29.28125,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,0.0
-15.15625,-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-37.84375,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,42.46875,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,0.0
-16.4375,-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-28.0,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,55.625,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,0.0
-1.28125,-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-8.84375,-1.65625,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,-21.3125,48.46875,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,15.8125,0.0
-0.21875,0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-8.84375,-7.84375,-7.90625,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,-21.3125,-18.40625,36.4375,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,15.8125,18.90625,0.0
0.09375,1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-8.84375,-7.84375,-10.1875,-4.0,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,-21.3125,-18.40625,-17.15625,32.90625,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,15.8125,18.90625,23.8125,0.0
1.25,-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-8.84375,-7.84375,-10.1875,-11.46875,5.0,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,-21.3125,-18.40625,-17.15625,-17.75,33.125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,15.8125,18.90625,23.8125,21.875,0.0
-1.96875,-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-8.84375,-7.84375,-10.1875,-11.46875,-10.5625,-3.65625,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,-21.3125,-18.40625,-17.15625,-17.75,-14.78125,29.625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,15.8125,18.90625,23.8125,21.875,18.40625,0.0
-2.46875,-2.21875,-3.40625,-3.40625,-4.65625,-1.34375,-6.46875,-7.65625,-6.21875,-7.03125,-5.375,-5.21875,-5.40625,-6.1875,-5.40625,-5.5625,-5.375,-5.40625,-5.5625,-5.875,-5.625,-6.8125,-7.125,-7.6875,-8.09375,-8.375,-9.0,-9.09375,-7.90625,-8.46875,-11.21875,-11.78125,-13.15625,-13.34375,-11.09375,-9.4375,-8.9375,-8.0625,-10.65625,-10.78125,-11.59375,-10.40625,-8.84375,-7.84375,-10.1875,-11.46875,-10.5625,-8.8125,-9.0625,-11.09375,-11.8125,-9.96875,-9.375,-7.96875,-8.21875,-9.21875,-10.28125,-6.0625,-6.0625,-6.71875,-4.78125,1.03125,0.21875,-1.5625,-0.40625,1.5625,4.84375,4.78125,4.90625,4.28125,6.625,5.96875,5.0,2.875,2.34375,6.0,7.25,6.90625,0.59375,-6.15625,-6.15625,-12.09375,-13.84375,-14.21875,-16.15625,-18.25,-19.46875,-18.8125,-18.4375,-20.625,-21.3125,-18.40625,-17.15625,-17.75,-14.78125,-11.90625,28.3125,31.5625,27.40625,26.0,22.65625,21.84375,19.5,16.25,27.59375,31.96875,28.5625,26.0625,25.03125,29.15625,32.40625,31.6875,31.84375,33.15625,34.1875,33.75,33.78125,35.6875,36.34375,33.8125,32.84375,33.90625,35.875,37.9375,35.78125,29.84375,24.25,21.46875,24.9375,28.1875,25.09375,25.65625,24.4375,23.25,19.125,13.40625,15.0,14.21875,15.8125,18.90625,23.8125,21.875,18.40625,18.78125,0.0
